Car,油耗,安全,价格,外观,动力,操控,内饰,保养,配置
速腾,0.693150400868,0.70549737778,0.934659352583,0.853825547049,0.868705768883,0.803667972753,0.683249864368,0.821477364519,0.743310868648
途观,0.696078304969,0.747054088394,0.909620193364,0.834143698745,0.856443566626,0.811103567108,0.688594172716,0.797051935475,0.764376698161
奥迪A3进口,0.723444537918,0.802022387961,0.96626504911,0.924337423416,0.895529394375,0.86889988123,0.833088036177,0.85725841887,0.891800569659
桑塔纳,0.698471683802,0.763925014982,0.918737629838,0.930011919584,0.95057729264,0.902066577178,0.803750577735,0.82162243447,0.831176235136
凌渡,0.783877517433,0.753040521174,0.960748290891,0.881145532648,0.925451986856,0.898254185166,0.796011864366,0.87087423883,0.836741071676
汉兰达,0.723254488314,0.747041188703,0.913833848879,0.918050484611,0.926593708628,0.892274209154,0.822427817936,0.782029044757,0.847409097695
雅阁,0.755686856186,0.79567363129,0.890530362301,0.888769916551,0.913405811626,0.859965679067,0.789546124843,0.810525775831,0.8281453204
